Index,Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEMSOS,OppOSOS,OppDSOS,AdjEMNCSOS
1,1,Gonzaga,WCC,37-2,+32.05,118.4,86.3,70.1,+.020,+2.99,106.2,103.2,+1.02
2,2,Villanova,BE,32-4,+29.88,122.4,92.5,64.0,+.010,+9.33,109.8,100.4,+3.55
3,3,North Carolina,ACC,33-7,+28.22,120.7,92.5,71.2,+.037,+12.49,112.0,99.5,+3.87
4,4,Kentucky,SEC,32-6,+27.72,119.1,91.4,71.9,+.006,+10.98,110.4,99.5,+3.74
5,5,Florida,SEC,27-9,+27.50,116.9,89.4,68.9,-.041,+12.46,110.2,97.7,+8.19
6,6,Kansas,B12,31-5,+27.45,122.0,94.5,70.2,+.067,+12.43,111.2,98.7,+2.39
7,7,West Virginia,B12,28-9,+27.17,116.5,89.4,69.9,-.043,+10.84,110.0,99.2,-7.97
8,8,Wichita St.,MVC,31-5,+26.14,118.7,92.6,67.9,-.021,+1.50,105.0,103.5,-0.32
9,9,Louisville,ACC,25-9,+25.51,117.2,91.7,67.9,-.023,+11.14,111.6,100.4,+4.20
10,10,Oregon,P12,33-6,+25.02,118.2,93.2,67.0,+.034,+8.05,109.2,101.1,+0.51
11,11,SMU,Amer,30-5,+24.74,119.8,95.0,63.4,+.003,+3.25,105.3,102.0,-0.92
12,12,Virginia,ACC,23-11,+24.29,112.2,87.9,59.1,-.030,+11.68,111.4,99.7,+2.29
13,13,Baylor,B12,27-8,+24.23,117.1,92.9,63.6,+.023,+13.08,111.6,98.5,+1.67
14,14,Duke,ACC,28-9,+24.17,121.0,96.9,68.2,+.014,+11.43,111.0,99.5,+0.03
15,15,Saint Mary's,WCC,29-5,+23.66,118.7,95.0,60.2,+.030,+0.42,104.3,103.9,-4.12
16,16,UCLA,P12,31-5,+23.63,124.0,100.4,72.5,+.021,+5.18,107.9,102.7,-4.66
17,17,Iowa St.,B12,24-11,+23.45,119.7,96.3,68.3,-.019,+14.05,112.6,98.5,-0.74
